City,Country,Cost_of_Living_Index,Avg_Monthly_Salary_USD,Rent_Index,Groceries_Index,Restaurant_Index,Salary-to-Cost Ratio,Affordability
Mexico City,Mexico,36.2,"1,200.00",27.6,35.4,38.7,331.49,Low Value
Sao Paulo,Brazil,38.5,"1,400.00",30.2,37.8,40.3,363.64,Low Value
Mumbai,India,35.7,"1,600.00",28.4,34.2,37.1,448.18,Low Value
Tokyo,Japan,85.4,"4,300.00",72.8,84.6,88.2,503.51,Low Value
Osaka,Japan,74.3,"3,800.00",61.4,73.2,76.5,511.44,Low Value
Warsaw,Poland,52.3,"2,800.00",45.6,51.2,54.8,535.37,Low Value
Paris,France,89.6,"4,800.00",98.4,85.3,92.1,535.71,Low Value
Seoul,South Korea,72.8,"3,900.00",68.5,71.4,74.3,535.71,Low Value
Miami,USA,88.7,"4,900.00",92.5,86.4,89.2,552.42,Low Value
Bangalore,India,32.4,"1,800.00",22.5,31.6,33.8,555.56,Low Value
Manchester,UK,72.3,"4,200.00",74.5,70.1,73.8,580.91,Mid Value
Amsterdam,Netherlands,86.3,"5,100.00",94.2,82.7,88.5,590.96,Mid Value
Vancouver,Canada,84.2,"5,000.00",92.3,80.6,85.7,593.82,Mid Value
Berlin,Germany,68.5,"4,100.00",65.3,67.2,70.4,598.54,Mid Value
Munich,Germany,82.1,"5,000.00",88.7,79.4,83.2,609.01,Mid Value
Toronto,Canada,79.8,"4,900.00",85.6,77.3,81.2,614.04,Mid Value
London,UK,92.4,"5,800.00",110.3,88.2,91.6,627.71,Mid Value
Boston,USA,98.3,"6,200.00",102.4,96.7,99.5,630.72,Mid Value
Sydney,Australia,88.5,"5,600.00",95.7,84.2,90.3,632.77,Mid Value
Melbourne,Australia,83.7,"5,300.00",89.4,80.1,85.6,633.21,Mid Value
Singapore,Singapore,91.2,"5,900.00",105.6,87.4,93.8,646.93,Mid Value
New York,USA,100.0,"6,500.00",100.0,100.0,100.0,650.00,High Value
Chicago,USA,82.3,"5,400.00",75.4,81.2,83.7,656.14,High Value
Denver,USA,80.5,"5,300.00",78.6,81.4,82.3,658.39,High Value
Austin,USA,78.4,"5,200.00",72.1,79.3,80.5,663.27,High Value
Phoenix,USA,70.1,"4,700.00",64.2,71.3,72.5,670.47,High Value
Dallas,USA,74.2,"5,100.00",68.3,75.1,76.8,687.33,High Value
San Francisco,USA,110.2,"7,800.00",125.3,108.4,112.1,707.80,High Value
Seattle,USA,95.6,"6,800.00",98.2,94.3,96.1,711.30,High Value
Dubai,UAE,78.6,"5,700.00",82.3,74.5,80.1,725.19,High Value
